fps,pixel,cores
30.4,800.0,2.0
34.2,800.0,2.0
34.6,800.0,2.0
27.8,800.0,2.0
30.4,800.0,2.0
30.5,800.0,2.0
27.8,800.0,2.0
30.4,800.0,2.0
33.333333333333336,800.0,2.0
32.166666666666664,800.0,2.0
29.666666666666668,800.0,2.0
51.666666666666664,500.0,2.0
38.333333333333336,500.0,2.0
37.166666666666664,500.0,2.0
35.5,500.0,2.0
40.8,500.0,2.0
38.833333333333336,500.0,2.0
38.333333333333336,500.0,2.0
36.166666666666664,500.0,2.0
39.0,500.0,2.0
43.8,200.0,2.0
37.666666666666664,200.0,2.0
42.5,200.0,2.0
42.666666666666664,200.0,2.0
40.6,200.0,2.0
73.0,200.0,2.0
40.6,200.0,2.0
42.166666666666664,200.0,2.0
38.666666666666664,200.0,2.0
41.166666666666664,200.0,2.0
40.333333333333336,200.0,2.0
36.6,1200.0,2.0
29.333333333333332,1200.0,2.0
29.2,1200.0,2.0
30.5,1200.0,2.0
29.333333333333332,1200.0,2.0
31.0,1200.0,2.0
29.8,1200.0,2.0
27.833333333333332,1200.0,2.0
28.166666666666668,1200.0,2.0
24.833333333333332,1200.0,2.0
28.666666666666668,1600.0,2.0
22.5,1600.0,2.0
21.5,1600.0,2.0
23.666666666666668,1600.0,2.0
24.0,1600.0,2.0
25.833333333333332,1600.0,2.0
28.166666666666668,1600.0,2.0
25.333333333333332,1600.0,2.0
24.833333333333332,1600.0,2.0
