rep,timestamp,service,slo_f,state
1,2025-05-25 16:02:38.796743,elastic-workbench-qr-detector-1,0.36881924642133335,"{'throughput': 25.44, 'avg_p_latency': 50.08, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.2544}"
1,2025-05-25 16:02:38.816238,elastic-workbench-cv-analyzer-1,0.022057142857142862,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0}"
1,2025-05-25 16:02:43.787818,elastic-workbench-qr-detector-1,0.48175257600000004,"{'throughput': 43.2, 'avg_p_latency': 41.32, 'quality': 600.0, 'cores': 2.0, 'completion_rate': 0.43200000000000005}"
1,2025-05-25 16:02:43.796881,elastic-workbench-cv-analyzer-1,0.020975000000000004,"{'throughput': 0.25, 'avg_p_latency': 201.625, 'quality': 224.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0025}"
1,2025-05-25 16:02:48.788275,elastic-workbench-qr-detector-1,0.7019118189226665,"{'throughput': 71.52, 'avg_p_latency': 29.64, 'quality': 500.0, 'cores': 2.0, 'completion_rate': 0.7152}"
1,2025-05-25 16:02:48.796003,elastic-workbench-cv-analyzer-1,0.023884909714285717,"{'throughput': 0.84, 'avg_p_latency': 575.44, 'quality': 192.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0084}"
2,2025-05-25 16:02:57.814281,elastic-workbench-qr-detector-1,0.8646988950186666,"{'throughput': 80.96, 'avg_p_latency': 28.88, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.8096}"
2,2025-05-25 16:02:57.837517,elastic-workbench-cv-analyzer-1,0.39008862433862435,"{'throughput': 1.5833333333333333, 'avg_p_latency': 317.1666666666667, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.01583333333333333}"
2,2025-05-25 16:03:02.809111,elastic-workbench-qr-detector-1,0.5792973333333333,"{'throughput': 53.0, 'avg_p_latency': 45.96, 'quality': 600.0, 'cores': 2.0, 'completion_rate': 0.53}"
2,2025-05-25 16:03:02.832164,elastic-workbench-cv-analyzer-1,0.023296000000000004,"{'throughput': 0.6, 'avg_p_latency': 204.56, 'quality': 224.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.006}"
2,2025-05-25 16:03:07.806084,elastic-workbench-qr-detector-1,0.517992224,"{'throughput': 51.8, 'avg_p_latency': 41.8, 'quality': 500.0, 'cores': 2.0, 'completion_rate': 0.518}"
2,2025-05-25 16:03:07.817351,elastic-workbench-cv-analyzer-1,0.019215095899470902,"{'throughput': 0.2916666666666667, 'avg_p_latency': 189.125, 'quality': 192.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.002916666666666667}"
3,2025-05-25 16:03:16.821641,elastic-workbench-qr-detector-1,0.8936061938346667,"{'throughput': 86.24, 'avg_p_latency': 20.8, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.8623999999999999}"
3,2025-05-25 16:03:16.836792,elastic-workbench-cv-analyzer-1,0.4802552685714287,"{'throughput': 2.04, 'avg_p_latency': 442.72, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0204}"
3,2025-05-25 16:03:21.818890,elastic-workbench-qr-detector-1,0.7668736424106667,"{'throughput': 73.48, 'avg_p_latency': 26.48, 'quality': 600.0, 'cores': 2.0, 'completion_rate': 0.7348}"
3,2025-05-25 16:03:21.829579,elastic-workbench-cv-analyzer-1,0.3298624338624339,"{'throughput': 1.3333333333333333, 'avg_p_latency': 487.4583333333333, 'quality': 224.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.013333333333333332}"
3,2025-05-25 16:03:26.820277,elastic-workbench-qr-detector-1,0.7869475905706667,"{'throughput': 83.88, 'avg_p_latency': 23.84, 'quality': 500.0, 'cores': 2.0, 'completion_rate': 0.8388}"
3,2025-05-25 16:03:26.832112,elastic-workbench-cv-analyzer-1,0.29514715428571436,"{'throughput': 1.24, 'avg_p_latency': 470.0, 'quality': 192.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0124}"
